#Time,feature,AirPressure_1m in [mbar],AirPressure_1mQualityFlag in [],NeutronCount_Epithermal_Cum1hr in [-],NeutronCount_Epithermal_Cum1hrQualityFlag in []
2021-05-01T00:13:00.000+02:00,RU_C_005,964.20000000000005,4_2002,1090,4_2002
2021-05-01T01:13:00.000+02:00,RU_C_005,964.5,4_2002,1046,4_2002
2021-05-01T02:13:02.000+02:00,RU_C_005,964.29999999999995,4_2002,1035,4_2002
2021-05-01T03:13:00.000+02:00,RU_C_005,964.10000000000002,4_2002,1021,4_2002
2021-05-01T04:13:00.000+02:00,RU_C_005,964.20000000000005,4_2002,1100,4_2002
2021-05-01T05:13:00.000+02:00,RU_C_005,964,4_2002,1122,4_2002
2021-05-01T06:13:00.000+02:00,RU_C_005,964.20000000000005,4_2002,1096,4_2002
2021-05-01T07:13:00.000+02:00,RU_C_005,964.20000000000005,4_2002,1106,4_2002
2021-05-01T09:13:00.000+02:00,RU_C_005,963.79999999999995,4_2002,1102,4_2002
2021-05-01T10:13:00.000+02:00,RU_C_005,963.89999999999998,4_2002,1093,4_2002
2021-05-01T11:13:00.000+02:00,RU_C_005,964.20000000000005,4_2002,1145,4_2002
2021-05-01T12:13:00.000+02:00,RU_C_005,963.89999999999998,4_2002,1082,4_2002
2021-05-01T13:13:00.000+02:00,RU_C_005,963.60000000000002,4_2002,1118,4_2002
2021-05-01T14:13:00.000+02:00,RU_C_005,963.29999999999995,4_2002,1120,4_2002
2021-05-01T15:13:00.000+02:00,RU_C_005,963,4_2002,1107,4_2002
2021-05-01T16:13:00.000+02:00,RU_C_005,962.79999999999995,4_2002,1128,4_2002
2021-05-01T17:13:00.000+02:00,RU_C_005,962.60000000000002,4_2002,1092,4_2002
2021-05-01T19:13:00.000+02:00,RU_C_005,962.60000000000002,4_2002,1179,4_2002
2021-05-01T20:13:00.000+02:00,RU_C_005,963.10000000000002,4_2002,1121,4_2002
2021-05-01T21:13:00.000+02:00,RU_C_005,963.60000000000002,4_2002,1108,4_2002
2021-05-01T22:13:00.000+02:00,RU_C_005,963.89999999999998,4_2002,1077,4_2002
2021-05-01T23:13:00.000+02:00,RU_C_005,963.79999999999995,4_2002,1121,4_2002
2021-05-02T00:13:00.000+02:00,RU_C_005,964.10000000000002,4_2002,1062,4_2002
2021-05-02T01:13:00.000+02:00,RU_C_005,964.5,4_2002,1151,4_2002
2021-05-02T02:13:00.000+02:00,RU_C_005,964.5,4_2002,1143,4_2002
2021-05-02T03:13:00.000+02:00,RU_C_005,964.70000000000005,4_2002,1032,4_2002
2021-05-02T05:13:00.000+02:00,RU_C_005,965.39999999999998,4_2002,1069,4_2002
2021-05-02T06:13:00.000+02:00,RU_C_005,965.89999999999998,4_2002,1090,4_2002
2021-05-02T07:13:00.000+02:00,RU_C_005,966.29999999999995,4_2002,1072,4_2002
2021-05-02T08:13:00.000+02:00,RU_C_005,967,4_2002,1091,4_2002
2021-05-02T09:13:00.000+02:00,RU_C_005,967.39999999999998,4_2002,1060,4_2002
2021-05-02T10:13:00.000+02:00,RU_C_005,967.79999999999995,4_2002,1075,4_2002
2021-05-02T11:13:00.000+02:00,RU_C_005,967.89999999999998,4_2002,1071,4_2002
2021-05-02T12:13:00.000+02:00,RU_C_005,968.20000000000005,4_2002,1093,4_2002
2021-05-02T13:13:00.000+02:00,RU_C_005,968.5,4_2002,1084,4_2002
2021-05-02T15:13:00.000+02:00,RU_C_005,968.70000000000005,4_2002,1080,4_2002
2021-05-02T16:13:00.000+02:00,RU_C_005,969.10000000000002,4_2002,1056,4_2002
2021-05-02T17:13:00.000+02:00,RU_C_005,969.29999999999995,4_2002,1061,4_2002
2021-05-02T18:13:00.000+02:00,RU_C_005,969,4_2002,1101,4_2002
2021-05-02T19:13:00.000+02:00,RU_C_005,969.10000000000002,4_2002,1059,4_2002
2021-05-02T20:13:00.000+02:00,RU_C_005,969.5,4_2002,1070,4_2002
2021-05-02T21:13:00.000+02:00,RU_C_005,970,4_2002,1055,4_2002
2021-05-02T22:13:00.000+02:00,RU_C_005,970.5,4_2002,1124,4_2002
2021-05-02T23:13:00.000+02:00,RU_C_005,970.70000000000005,4_2002,1030,4_2002
2021-05-03T01:13:00.000+02:00,RU_C_005,971.5,4_2002,1069,4_2002
2021-05-03T02:13:00.000+02:00,RU_C_005,971.5,4_2002,1059,4_2002
2021-05-03T03:13:00.000+02:00,RU_C_005,971.5,4_2002,988,4_2002
2021-05-03T04:13:00.000+02:00,RU_C_005,971.70000000000005,4_2002,1050,4_2002
2021-05-03T05:13:00.000+02:00,RU_C_005,971.70000000000005,4_2002,1021,4_2002
2021-05-03T06:13:00.000+02:00,RU_C_005,971.70000000000005,4_2002,1043,4_2002
2021-05-03T07:13:00.000+02:00,RU_C_005,971.79999999999995,4_2002,1074,4_2002
2021-05-03T08:13:00.000+02:00,RU_C_005,971.70000000000005,4_2002,1074,4_2002
2021-05-03T09:13:00.000+02:00,RU_C_005,971.60000000000002,4_2002,1016,4_2002
2021-05-03T11:13:00.000+02:00,RU_C_005,971.10000000000002,4_2002,1021,4_2002
2021-05-03T12:13:00.000+02:00,RU_C_005,970.39999999999998,4_2002,1051,4_2002
2021-05-03T13:13:00.000+02:00,RU_C_005,970,4_2002,1093,4_2002
2021-05-03T14:13:00.000+02:00,RU_C_005,969.39999999999998,4_2002,1079,4_2002
2021-05-03T15:13:00.000+02:00,RU_C_005,968.60000000000002,4_2002,1066,4_2002
2021-05-03T16:13:00.000+02:00,RU_C_005,967.89999999999998,4_2002,1092,4_2002
2021-05-03T17:13:00.000+02:00,RU_C_005,967.29999999999995,4_2002,1050,4_2002
2021-05-03T18:13:00.000+02:00,RU_C_005,966.20000000000005,4_2002,1065,4_2002
2021-05-03T19:13:00.000+02:00,RU_C_005,965.29999999999995,4_2002,1139,4_2002
2021-05-03T21:13:00.000+02:00,RU_C_005,963.5,4_2002,1084,4_2002
2021-05-03T22:13:00.000+02:00,RU_C_005,962.70000000000005,4_2002,1099,4_2002
2021-05-03T23:13:00.000+02:00,RU_C_005,961.29999999999995,4_2002,1103,4_2002
2021-05-04T00:13:00.000+02:00,RU_C_005,959.60000000000002,4_2002,1196,4_2002
2021-05-04T01:13:00.000+02:00,RU_C_005,957.89999999999998,4_2002,1135,4_2002
2021-05-04T02:13:00.000+02:00,RU_C_005,956.29999999999995,4_2002,1141,4_2002
2021-05-04T03:13:00.000+02:00,RU_C_005,954.79999999999995,4_2002,1185,4_2002
2021-05-04T04:13:00.000+02:00,RU_C_005,954.29999999999995,4_2002,1215,4_2002
2021-05-04T05:13:00.000+02:00,RU_C_005,953,4_2002,1147,4_2002
2021-05-04T07:13:00.000+02:00,RU_C_005,952.20000000000005,4_2002,1230,4_2002
2021-05-04T08:13:00.000+02:00,RU_C_005,951.79999999999995,4_2002,1172,4_2002
2021-05-04T09:13:00.000+02:00,RU_C_005,951.79999999999995,4_2002,1230,4_2002
2021-05-04T10:13:00.000+02:00,RU_C_005,951.60000000000002,4_2002,1269,4_2002
