#Time,feature,NeutronCount_Epithermal_Cum1hrQualityFlag in []
2015-08-07T03:00:00.000000+0200,Jungfraujoch,155.696,42027.0
2015-08-07T04:00:00.000000+0200,Jungfraujoch,155.802,42027.0
2015-08-07T05:00:00.000000+0200,Jungfraujoch,156.48,42027.0
2015-08-07T06:00:00.000000+0200,Jungfraujoch,156.915,42027.0
2015-08-07T07:00:00.000000+0200,Jungfraujoch,156.709,42027.0
2015-08-07T08:00:00.000000+0200,Jungfraujoch,157.686,42027.0
2015-08-07T09:00:00.000000+0200,Jungfraujoch,158.089,42027.0
2015-08-07T10:00:00.000000+0200,Jungfraujoch,157.695,42027.0
2015-08-07T11:00:00.000000+0200,Jungfraujoch,157.242,42027.0
2015-08-07T12:00:00.000000+0200,Jungfraujoch,157.726,42027.0
2015-08-07T13:00:00.000000+0200,Jungfraujoch,157.589,42027.0
2015-08-07T14:00:00.000000+0200,Jungfraujoch,158.362,42027.0
2015-08-07T15:00:00.000000+0200,Jungfraujoch,158.078,42027.0
2015-08-07T16:00:00.000000+0200,Jungfraujoch,158.334,42027.0
2015-08-07T17:00:00.000000+0200,Jungfraujoch,157.52,42027.0
2015-08-07T18:00:00.000000+0200,Jungfraujoch,156.94,42027.0
2015-08-07T19:00:00.000000+0200,Jungfraujoch,155.516,42027.0
2015-08-07T20:00:00.000000+0200,Jungfraujoch,155.675,42027.0
2015-08-07T21:00:00.000000+0200,Jungfraujoch,156.277,42027.0
2015-08-07T22:00:00.000000+0200,Jungfraujoch,156.237,42027.0
2015-08-07T23:00:00.000000+0200,Jungfraujoch,155.57,42027.0
2015-08-08T00:00:00.000000+0200,Jungfraujoch,155.853,42027.0
2015-08-08T01:00:00.000000+0200,Jungfraujoch,156.157,42027.0
2015-08-08T02:00:00.000000+0200,Jungfraujoch,155.929,42027.0
2015-08-08T03:00:00.000000+0200,Jungfraujoch,156.648,42027.0
2015-08-08T04:00:00.000000+0200,Jungfraujoch,156.327,42027.0
2015-08-08T05:00:00.000000+0200,Jungfraujoch,155.997,42027.0
2015-08-08T06:00:00.000000+0200,Jungfraujoch,156.504,42027.0
2015-08-08T07:00:00.000000+0200,Jungfraujoch,155.992,42027.0
2015-08-08T08:00:00.000000+0200,Jungfraujoch,156.507,42027.0
